ad,tur,mutfak,telefon,website,instagram,saatler,bahce,wifi,adres,lat,lon,harita,osm_id
Junk Vegan,restaurant,burger;sandwich;turkish;dessert,,,,11:45-22:30,,,Tunus Caddesi,39.9086358,32.8584527,"https://www.google.com/maps/search/?api=1&query=39.9086358,32.8584527",node/11203817921
Kadayıfçı Abdullah,restaurant,,+90 312 222 22 58,,,09:00-00:30,,,Dikmen Cd.,39.8707830,32.8293642,"https://www.google.com/maps/search/?api=1&query=39.8707830,32.8293642",node/11203819502
Kafe's,cafe,,,,,,,,,39.9091774,32.7896872,"https://www.google.com/maps/search/?api=1&query=39.9091774,32.7896872",node/149002857
Kafes Fırın,cafe,,,,,,,,,39.8980776,32.8710662,"https://www.google.com/maps/search/?api=1&query=39.8980776,32.8710662",node/4081598561
Kafeterya,restaurant,,,,,,,,,39.8934801,32.7840236,"https://www.google.com/maps/search/?api=1&query=39.8934801,32.7840236",node/308826436
Kafka,bar,,,,,Mo-Su 10:00-01:00,,,,39.9151778,32.8573696,"https://www.google.com/maps/search/?api=1&query=39.9151778,32.8573696",node/6908297127
Kahvaltilar,cafe,,,,,,,,,39.8780432,32.8754815,"https://www.google.com/maps/search/?api=1&query=39.8780432,32.8754815",node/5398100424
Kahve Ateşi,cafe,,,,,,,,,39.8939459,32.8768552,"https://www.google.com/maps/search/?api=1&query=39.8939459,32.8768552",node/4624060634
Kahve Dünyası,cafe,coffee_shop,,,,,,,,39.8941887,32.8771690,"https://www.google.com/maps/search/?api=1&query=39.8941887,32.8771690",node/4624060635
Kahveci Ezgizade,cafe,,,,,,,,,39.9220791,32.8568745,"https://www.google.com/maps/search/?api=1&query=39.9220791,32.8568745",node/6363469222
Kahveci Hacibaba,restaurant,,,,,,,,,39.9203824,32.8564279,"https://www.google.com/maps/search/?api=1&query=39.9203824,32.8564279",node/9216429188
Kahveci Hacıbaba,cafe,,,,,,,,,39.9194736,32.8568534,"https://www.google.com/maps/search/?api=1&query=39.9194736,32.8568534",node/10259003648
Kajun Bring More,restaurant,chicken;dessert,,,,,,,,39.9167269,32.8580133,"https://www.google.com/maps/search/?api=1&query=39.9167269,32.8580133",node/9318426311
Kakule Kahve,cafe,,,,,Mo-Su 09:00-22:30,yes,yes,Kızılırmak Caddesi 17,39.9148879,32.8579800,"https://www.google.com/maps/search/?api=1&query=39.9148879,32.8579800",node/5606738321
Kalender Zebra,restaurant,turkish,+90 312 466 14 01,https://kalenderzebra.com/,,"""Rezervasyon ve talebe göre açılır.""",yes,,,39.8967694,32.8572277,"https://www.google.com/maps/search/?api=1&query=39.8967694,32.8572277",node/12942427410
Kamara Coffee & Community,cafe,,+90 554 138 70 11,,,"Mo-Sa 10:00-00:00, Su 10:00-23:30",,,Güvenlik Cd. 47/A,39.9053521,32.8530390,"https://www.google.com/maps/search/?api=1&query=39.9053521,32.8530390",node/529107622
Kanatçı,restaurant,,,,,,,,,39.8678169,32.8573639,"https://www.google.com/maps/search/?api=1&query=39.8678169,32.8573639",node/4411428459
Kantin,fast_food,,,,,,,,,39.8926669,32.7817239,"https://www.google.com/maps/search/?api=1&query=39.8926669,32.7817239",node/9320989392
Karacabey İskendercisi,restaurant,,,,,,,,,39.9069628,32.8141075,"https://www.google.com/maps/search/?api=1&query=39.9069628,32.8141075",node/4652849984
Karadeniz ev yemekleri,restaurant,,,,,,,,,39.9229426,32.8282662,"https://www.google.com/maps/search/?api=1&query=39.9229426,32.8282662",node/4370470191
Karadeniz Kıyak Balıkçısı,restaurant,,,,,,,,,39.8734855,32.8659259,"https://www.google.com/maps/search/?api=1&query=39.8734855,32.8659259",node/75343511
Kardeşler Uygur Mutfağı,restaurant,,,,,,,,Şehit Mehmet Aras Sokak,39.9194754,32.8298910,"https://www.google.com/maps/search/?api=1&query=39.9194754,32.8298910",node/13947829317
Kare Çarşı,cafe,,,,,,,,,39.9327474,32.8218752,"https://www.google.com/maps/search/?api=1&query=39.9327474,32.8218752",node/6187774886
Karma mutfak,cafe,,,,,,,,Cihan Sk.,39.9269866,32.8545539,"https://www.google.com/maps/search/?api=1&query=39.9269866,32.8545539",node/4237565492
Kayf Coffee,cafe,,,,kayfcoffeee,Mo-Fr 08:00-23:00; Sa-Su 09:30-23:00,,wlan,Konur Sokak 44/A,39.9156329,32.8568034,"https://www.google.com/maps/search/?api=1&query=39.9156329,32.8568034",node/13527373901
Kayseri Tepsi Mantıcı,restaurant,,,,,,,,,39.8783760,32.8753409,"https://www.google.com/maps/search/?api=1&query=39.8783760,32.8753409",node/4588953558
Kebap 1956,restaurant,kebab,,,,,,,,39.8926936,32.7883317,"https://www.google.com/maps/search/?api=1&query=39.8926936,32.7883317",node/4627537419
Kebap 49,restaurant,,,,,,,,,39.9073982,32.8600659,"https://www.google.com/maps/search/?api=1&query=39.9073982,32.8600659",node/1706183095
Kebap 9,restaurant,,,,,,,,,39.9299902,32.8739207,"https://www.google.com/maps/search/?api=1&query=39.9299902,32.8739207",node/3894551558
Kebap Ağa,restaurant,,,,,,,,,39.8948678,32.8783545,"https://www.google.com/maps/search/?api=1&query=39.8948678,32.8783545",node/4624060638
Kebap Lahmacun,fast_food,kebab;turkish,,,,,,,,39.8998145,32.8492039,"https://www.google.com/maps/search/?api=1&query=39.8998145,32.8492039",node/9572998917
Kebapçı Mustafa Birlik,restaurant,kebab;turkish;tea,+90 551 354 50 06,,,Mo-Su 11:00-24:00,yes,wlan,448. Cadde 63,39.8791469,32.8803944,"https://www.google.com/maps/search/?api=1&query=39.8791469,32.8803944",node/13477314241
Kebo,fast_food,,,,,,,,,39.9190925,32.8561646,"https://www.google.com/maps/search/?api=1&query=39.9190925,32.8561646",node/4621807652
Kesginler,restaurant,,,,,,,,,39.9034839,32.8601760,"https://www.google.com/maps/search/?api=1&query=39.9034839,32.8601760",node/6407890034
Kesit Cafe,cafe,,,,,,,,Yükseliş Sk.,39.9308503,32.8464759,"https://www.google.com/maps/search/?api=1&query=39.9308503,32.8464759",way/421444532
Keyfimce,cafe,,,http://keyfimcecafe.com/,,,,,,39.9308401,32.8177905,"https://www.google.com/maps/search/?api=1&query=39.9308401,32.8177905",node/2395646377
Keyifli Kafe,cafe,,,,,,,,,39.9243520,32.8559404,"https://www.google.com/maps/search/?api=1&query=39.9243520,32.8559404",node/4240770617
Khatoon Bağdat Restoranı,restaurant,,,,,,,,Karanfil Sokak,39.9165418,32.8552111,"https://www.google.com/maps/search/?api=1&query=39.9165418,32.8552111",node/9324322417
Kimya Kantini,fast_food,,,,,,,wlan,,39.8932850,32.7825948,"https://www.google.com/maps/search/?api=1&query=39.8932850,32.7825948",node/4327395490
Kitapça,cafe,,+90 530 304 24 22,,kitapcakafe,Mo-Su 10:00-23:00,,wlan,50/A,39.9189893,32.8585980,"https://www.google.com/maps/search/?api=1&query=39.9189893,32.8585980",node/9320777722
Kişniş,fast_food,,,,,,,,,39.8687013,32.8576157,"https://www.google.com/maps/search/?api=1&query=39.8687013,32.8576157",node/4627366938
Klas Pastanesi,cafe,bakery,+90 312 437 18 18,https://www.klaspastaneleri.com/,,,yes,,,39.8996671,32.8758285,"https://www.google.com/maps/search/?api=1&query=39.8996671,32.8758285",node/3921715771
Koala Café,cafe,coffee_shop,+90 542 151 65 06,,,Mo-Su 10:00-23:00,yes,yes,Bülten Caddesi 21-C,39.9067845,32.8618714,"https://www.google.com/maps/search/?api=1&query=39.9067845,32.8618714",node/6315712786
Kocatepe,cafe,coffee_shop,,,,,,,,39.9025461,32.8609269,"https://www.google.com/maps/search/?api=1&query=39.9025461,32.8609269",node/12318364725
Kocatepe Coffee 1919,cafe,coffee_shop,,,,,,,,39.9220545,32.8262607,"https://www.google.com/maps/search/?api=1&query=39.9220545,32.8262607",node/13620392478
Kocatepe Coffee 1919 Bahçelievler 7.Cadde,cafe,coffee_shop,,,,,,,,39.9218916,32.8255166,"https://www.google.com/maps/search/?api=1&query=39.9218916,32.8255166",node/13620392479
Kocatepe Kahve Evi,cafe,turkish,,,,,,,Cemal Gürsel Caddesi,39.9294518,32.8718340,"https://www.google.com/maps/search/?api=1&query=39.9294518,32.8718340",node/3991996308
Koi Taiyakii Coffee,cafe,japanese,,,,,,,61. Cadde,39.9233545,32.8268599,"https://www.google.com/maps/search/?api=1&query=39.9233545,32.8268599",node/13948378001
Kolcuoğlu,restaurant,,,,,,,,,39.9034669,32.8088957,"https://www.google.com/maps/search/?api=1&query=39.9034669,32.8088957",node/4436250441
Komagene,fast_food,kebab,,,,,,wlan,,39.8885368,32.7887219,"https://www.google.com/maps/search/?api=1&query=39.8885368,32.7887219",node/4622731264
Konakbay Çibörek-Mantı,restaurant,turkish;tatar,+90 312 286 1066,http://www.konakbay.com.tr/ciborek-manti/menu,,,,,Süleyman Hacıabdullahoğlu Caddesi. 43,39.9057805,32.8214944,"https://www.google.com/maps/search/?api=1&query=39.9057805,32.8214944",node/11787074260
Konyalı Etli Ekmek,restaurant,,,,,,,,Dikmen Caddesi,39.8596881,32.8158900,"https://www.google.com/maps/search/?api=1&query=39.8596881,32.8158900",node/4362378028
Konyalı Kebap,restaurant,,,,,,,,,39.9038863,32.8137266,"https://www.google.com/maps/search/?api=1&query=39.9038863,32.8137266",node/60166115
Korelee,restaurant,,+90 312 418 06 88,,,,,,Bestekar Sokak 27,39.9098235,32.8588559,"https://www.google.com/maps/search/?api=1&query=39.9098235,32.8588559",node/9424866439
Koç Aspava,restaurant,kebab,,,,,,,22,39.9025717,32.8496325,"https://www.google.com/maps/search/?api=1&query=39.9025717,32.8496325",node/310402858
Krispy Kreme,fast_food,donut,,,,,,,,39.9105752,32.8094363,"https://www.google.com/maps/search/?api=1&query=39.9105752,32.8094363",node/13232303258
Kronotrop,cafe,,+90 312 425 88 89,https://kronotrop.com.tr/,,Mo-Sa 07:00-22:00,,,"Kavaklıdere, Tunus Cd. 11",39.9118366,32.8564128,"https://www.google.com/maps/search/?api=1&query=39.9118366,32.8564128",node/8658535422
Kukla Kebap,restaurant,turkish,,,,,,,Sadık Ahmet Caddesi,39.9098205,32.8160602,"https://www.google.com/maps/search/?api=1&query=39.9098205,32.8160602",node/3133256598
Kupa Coffee Co. Dikmen,cafe,,,,,,,yes,Dikmen Caddesi,39.8677245,32.8224112,"https://www.google.com/maps/search/?api=1&query=39.8677245,32.8224112",node/13946203004
Kuğulu Park Restaurant & Cafe,cafe,,,,,,,,,39.9019935,32.8596967,"https://www.google.com/maps/search/?api=1&query=39.9019935,32.8596967",node/3885269806
Kuş Sütü Meze Evi,restaurant,,+90 312 465 08 28,,,,,,Güvenlik Cd. 53/B,39.9045701,32.8529537,"https://www.google.com/maps/search/?api=1&query=39.9045701,32.8529537",node/11203817928
Köprü Kafe,cafe,,,,,,,,,39.9280921,32.8745353,"https://www.google.com/maps/search/?api=1&query=39.9280921,32.8745353",node/2756623736
Köroğlu Aspava,restaurant,turkish,,,,,,,,39.8958582,32.8786313,"https://www.google.com/maps/search/?api=1&query=39.8958582,32.8786313",node/813189533
Köroğlu İşkembecisi,restaurant,turkish,,,,,,,,39.8969210,32.8807502,"https://www.google.com/maps/search/?api=1&query=39.8969210,32.8807502",node/813136269
Köşem Lokantası,restaurant,,,,,,,,,39.9347593,32.8756824,"https://www.google.com/maps/search/?api=1&query=39.9347593,32.8756824",node/4345781174
Künefeci Sadi,restaurant,,,,,Mo-Sa 09:00-18:00,,,1109. Sokak,39.8689411,32.8238613,"https://www.google.com/maps/search/?api=1&query=39.8689411,32.8238613",node/13946114874
Küçük İtaylya,restaurant,italian,,,,,,,,39.9041017,32.8602872,"https://www.google.com/maps/search/?api=1&query=39.9041017,32.8602872",node/12638665613
Kırık Oklava,restaurant,turkish,,,,,,,,39.9304412,32.8729178,"https://www.google.com/maps/search/?api=1&query=39.9304412,32.8729178",node/1361595889
Kıtır,pub,,,,,,,,,39.9026268,32.8600757,"https://www.google.com/maps/search/?api=1&query=39.9026268,32.8600757",node/1706279072
La Gioia,restaurant,,,,,,,,,39.9006127,32.8625086,"https://www.google.com/maps/search/?api=1&query=39.9006127,32.8625086",node/4739267240
LAOS Coffee Roastery,cafe,,,,,Mo-Su 08:00-01:00,,,61. Cadde,39.9234425,32.8250030,"https://www.google.com/maps/search/?api=1&query=39.9234425,32.8250030",node/13776070801
Last Penny,pub,mexican;spanish,,,,,,,Prof. M. Aksoy (2.) Caddesi,39.9275026,32.8275122,"https://www.google.com/maps/search/?api=1&query=39.9275026,32.8275122",node/10916076542
Last Penny Büklüm,bar,,,,,,yes,,,39.9094911,32.8598458,"https://www.google.com/maps/search/?api=1&query=39.9094911,32.8598458",node/7212639285
Le Porte,bar,,,,,,no,,Ahmet Mithat Efendi Sokağı,39.8844015,32.8547728,"https://www.google.com/maps/search/?api=1&query=39.8844015,32.8547728",node/12851080201
Leman Kültür,cafe,,,,,,,,,39.9070698,32.8598097,"https://www.google.com/maps/search/?api=1&query=39.9070698,32.8598097",node/4617561933
Lezita,fast_food,,,,,,,,,39.9058308,32.8606234,"https://www.google.com/maps/search/?api=1&query=39.9058308,32.8606234",node/247208707
Leziz,restaurant,ev_yemekleri,,,,,,,,39.8917361,32.8253448,"https://www.google.com/maps/search/?api=1&query=39.8917361,32.8253448",node/4406510466
Liman Kitap Kafe,cafe,,+90 312 317 98 98,https://www.limankitap.com/,,Mo-Su 09:00-00:00,,wlan,Ufuk Üniversitesi Caddesi 8,39.9093775,32.8104251,"https://www.google.com/maps/search/?api=1&query=39.9093775,32.8104251",node/7272936085
Liman Restoran,restaurant,,,,,,,,,39.8929116,32.8560433,"https://www.google.com/maps/search/?api=1&query=39.8929116,32.8560433",node/62674002
Limanlı Bahçe,restaurant,,,,,,,,,39.9276879,32.8266997,"https://www.google.com/maps/search/?api=1&query=39.9276879,32.8266997",node/309887997
Linsa Gıda,cafe,coffee_shop,,,,,,,,39.9102319,32.8190289,"https://www.google.com/maps/search/?api=1&query=39.9102319,32.8190289",node/4805384849
Little Caesar's,fast_food,,,,,,,,,39.8611708,32.8169582,"https://www.google.com/maps/search/?api=1&query=39.8611708,32.8169582",node/4362378061
Little Caesars,fast_food,pizza,,,,,,,,39.8867188,32.8479937,"https://www.google.com/maps/search/?api=1&query=39.8867188,32.8479937",node/592346564
Little Green,cafe,,,,,,,,,39.9222417,32.8289041,"https://www.google.com/maps/search/?api=1&query=39.9222417,32.8289041",node/6573061287
Liva,restaurant,,,,,,,,,39.9048640,32.8092530,"https://www.google.com/maps/search/?api=1&query=39.9048640,32.8092530",node/851528942
Livane Restaurant - Artvin Evi,restaurant,,+90 530 603 99 52,livanerestaurant.com,,,,,841. Sokak 8/1,39.8632496,32.8160477,"https://www.google.com/maps/search/?api=1&query=39.8632496,32.8160477",node/4362419317
Lizbon Cafe,cafe,,,,,,,,,39.9338919,32.8229252,"https://www.google.com/maps/search/?api=1&query=39.9338919,32.8229252",node/3889784002
London Pub,cafe,,,,,,,,,39.9075654,32.8584993,"https://www.google.com/maps/search/?api=1&query=39.9075654,32.8584993",node/4109184492
Look Burger,restaurant,,,,,,,,Ceyhun Atuf Kansu Caddesi,39.8947133,32.8170661,"https://www.google.com/maps/search/?api=1&query=39.8947133,32.8170661",node/12707738001
Lübnan,restaurant,,,,,,,,,39.8672129,32.8570417,"https://www.google.com/maps/search/?api=1&query=39.8672129,32.8570417",node/6308884637
Lügat Kitap Kahve,cafe,,+90 553 750 88 24,,,Mo-Su 09:00-22:00,,wlan,Kestane Caddesi 11,39.9346050,32.8715672,"https://www.google.com/maps/search/?api=1&query=39.9346050,32.8715672",node/13157728301
Maden Mühendisliği Kantini,fast_food,,,,,,,,,39.8859086,32.7802805,"https://www.google.com/maps/search/?api=1&query=39.8859086,32.7802805",node/13056239198
Mado,cafe,coffee_shop,,,,,,,,39.9027817,32.8602480,"https://www.google.com/maps/search/?api=1&query=39.9027817,32.8602480",node/62673925
Maharet Mantı Ankara & Kayseri Yağlaması,restaurant,mantı;kayseri_yağlaması;yağlama;gyoza;tepsi_mantısı,+90 537 388 35 38,https://www.maharetmanti.com/,,,,,Uğur Mumcu Caddesi 79,39.8948802,32.8777019,"https://www.google.com/maps/search/?api=1&query=39.8948802,32.8777019",way/228487007
Makara,fast_food,,,,,,,,,39.8925434,32.7884523,"https://www.google.com/maps/search/?api=1&query=39.8925434,32.7884523",node/4627537418
Makina B Kantini,fast_food,,,,,,,,,39.8891603,32.7825020,"https://www.google.com/maps/search/?api=1&query=39.8891603,32.7825020",node/13056239180
Makina G Kantini,fast_food,,,,,,,,,39.8892103,32.7809311,"https://www.google.com/maps/search/?api=1&query=39.8892103,32.7809311",node/13056239181
Mama's burger,fast_food,,,,,,,,,39.9049797,32.8603794,"https://www.google.com/maps/search/?api=1&query=39.9049797,32.8603794",node/9373020740
MAMA'S BURGER @ CAJUN CHICKEN GOP,fast_food,burger,,,,,,,,39.8945777,32.8775606,"https://www.google.com/maps/search/?api=1&query=39.8945777,32.8775606",node/4624060636
Mama's Burger Cajun Chicken,fast_food,,,,,,,,Aşkabat Caddesi,39.9202269,32.8267305,"https://www.google.com/maps/search/?api=1&query=39.9202269,32.8267305",node/13990329601
Mangal Kebap,restaurant,,,,,,,,,39.9073198,32.8596594,"https://www.google.com/maps/search/?api=1&query=39.9073198,32.8596594",node/4617561935
Manja Coffee & Eatery,cafe,,,,,,,,,39.9093620,32.8044865,"https://www.google.com/maps/search/?api=1&query=39.9093620,32.8044865",node/14006843601
Mantar,restaurant,,,,,,,,,39.8791119,32.8608287,"https://www.google.com/maps/search/?api=1&query=39.8791119,32.8608287",node/60580779
Maraşlı Doğan Usta Dondurmacı,ice_cream,,+90 553 888 46 06,,,,yes,,,39.8712699,32.8294688,"https://www.google.com/maps/search/?api=1&query=39.8712699,32.8294688",node/11203819500
Marco Pasha,cafe,,,,,,,,,39.9230163,32.8257488,"https://www.google.com/maps/search/?api=1&query=39.9230163,32.8257488",node/1901406667
Marmaris Balıkçısı,restaurant,,,,,,,,,39.9064382,32.8599786,"https://www.google.com/maps/search/?api=1&query=39.9064382,32.8599786",node/4617561928
Matbaa,cafe,,,,,,,,,39.9304888,32.8561671,"https://www.google.com/maps/search/?api=1&query=39.9304888,32.8561671",node/6402213614
Matematik Kantini,fast_food,,,,,,,,,39.8956551,32.7823758,"https://www.google.com/maps/search/?api=1&query=39.8956551,32.7823758",node/3836440364
May,cafe,,,,,,,,,39.8727990,32.8600001,"https://www.google.com/maps/search/?api=1&query=39.8727990,32.8600001",node/4627366905
Maydanoz Döner,fast_food,kebab,,,,,,,,39.8918156,32.7889712,"https://www.google.com/maps/search/?api=1&query=39.8918156,32.7889712",node/715454932
Maşa,restaurant,turkish,,,,,,,,39.8975711,32.8579987,"https://www.google.com/maps/search/?api=1&query=39.8975711,32.8579987",node/1658126772
McDonald's,fast_food,burger,,,,,,,,39.9181473,32.8555182,"https://www.google.com/maps/search/?api=1&query=39.9181473,32.8555182",node/1199442113
Meandros,restaurant,,,,,,,,,39.8949979,32.8720815,"https://www.google.com/maps/search/?api=1&query=39.8949979,32.8720815",node/321680862
Menendi Pastanesi,cafe,tea;cake;dessert,+90 312 440 6093,,,,,,Kuzgun Caddesi 89/A,39.8951471,32.8499927,"https://www.google.com/maps/search/?api=1&query=39.8951471,32.8499927",node/13457655057
Meral'in Mutfağı,restaurant,,,,,,,,Nisan Sokak,39.8954912,32.8388905,"https://www.google.com/maps/search/?api=1&query=39.8954912,32.8388905",node/9608483605
Mersinli Ciğerci Apo,restaurant,,,,,,,,,39.9096515,32.8180372,"https://www.google.com/maps/search/?api=1&query=39.9096515,32.8180372",node/11366992185
Mesele,restaurant,,,,,,,,,39.8674970,32.8567654,"https://www.google.com/maps/search/?api=1&query=39.8674970,32.8567654",node/6308884639
Meydan Piknik,restaurant,,+90 312 475 17 03,,,,,,,39.8698335,32.8274970,"https://www.google.com/maps/search/?api=1&query=39.8698335,32.8274970",node/11206702641
Meze Evi,restaurant,regional;turkish,,,,Mo-Sa 08:00-20:00,yes,,Kahramankadın Sk.,39.8932849,32.8789872,"https://www.google.com/maps/search/?api=1&query=39.8932849,32.8789872",node/5248865097
Mezzaluna,restaurant,italian,,,,,,,Turan Emeksiz Caddesi 1,39.8974737,32.8638741,"https://www.google.com/maps/search/?api=1&query=39.8974737,32.8638741",node/4226492914
Meşhur Adıyaman Çiğ Köftecisi,fast_food,turkish,,,,,,,,39.8964440,32.8792766,"https://www.google.com/maps/search/?api=1&query=39.8964440,32.8792766",node/813193179
Meşhur Adıyaman Çiğköftecisi,fast_food,,,,,,,,,39.8726857,32.8599974,"https://www.google.com/maps/search/?api=1&query=39.8726857,32.8599974",node/4627366906
Meşhur Aspava,restaurant,kebab,,,,,,,,39.8926956,32.7884815,"https://www.google.com/maps/search/?api=1&query=39.8926956,32.7884815",node/2677063716
Meşhur Gülçimen Aspava ESAT,restaurant,,,,,,,,Esat Cd. 110,39.9064932,32.8665804,"https://www.google.com/maps/search/?api=1&query=39.9064932,32.8665804",node/9599039242
Meşhur İstanbul Pilavcısı,restaurant,,,,,,,,Konur Sokak 21,39.9182129,32.8564308,"https://www.google.com/maps/search/?api=1&query=39.9182129,32.8564308",node/14026436701
Meşhur Polat Aspava,restaurant,,,,,,,,Kazakistan Caddesi,39.9244127,32.8224698,"https://www.google.com/maps/search/?api=1&query=39.9244127,32.8224698",node/13803041402
Meşhur Sanayi Köftecisi,restaurant,barbecue;köfte,+903122868880,,,11:00-22:00,,,1421. Cadde No: 5,39.9117796,32.8204535,"https://www.google.com/maps/search/?api=1&query=39.9117796,32.8204535",node/2286418253
Meşhur Van Kahvaltısı,cafe,,,,,,,,,39.8709926,32.8589487,"https://www.google.com/maps/search/?api=1&query=39.8709926,32.8589487",node/4627366930
Meşhur Özçelik Aspava,restaurant,regional,,https://ozcelikaspava.com/,,,,,Belligün Caddesi 10,39.9065624,32.8692653,"https://www.google.com/maps/search/?api=1&query=39.9065624,32.8692653",node/4620215909
Midyeci Ahmet,restaurant,,,,,,,,,39.9248217,32.8252038,"https://www.google.com/maps/search/?api=1&query=39.9248217,32.8252038",node/6782670885
Mikado Ramen,restaurant,asian;ramen,,,mikadoramen,Mo-Su 12:00-21:00,,,49. Sokak 10/A,39.9281362,32.8248011,"https://www.google.com/maps/search/?api=1&query=39.9281362,32.8248011",node/13827563501
Milet Coffee,cafe,,,,,,,,Oğuzhan Asiltürk Caddesi,39.9247591,32.8230054,"https://www.google.com/maps/search/?api=1&query=39.9247591,32.8230054",node/13803049601
Mimarlık Kantini,fast_food,,,,,,,,,39.8976188,32.7817599,"https://www.google.com/maps/search/?api=1&query=39.8976188,32.7817599",node/4622917822
Minister Pub,pub,,,,,,,,,39.9063896,32.8621876,"https://www.google.com/maps/search/?api=1&query=39.9063896,32.8621876",node/13112065756
Minna's Hot Spot Bistro,restaurant,bistro,,,,,,,11,39.8976000,32.8664221,"https://www.google.com/maps/search/?api=1&query=39.8976000,32.8664221",node/310402862
Mirket Kitap & Plak & Atölye,cafe,,,,,,,,,39.8936284,32.8578566,"https://www.google.com/maps/search/?api=1&query=39.8936284,32.8578566",node/12539191138
Mis Başak Restaurant,restaurant,turkish;tea;bagel;cake;coffee_shop;breakfast;kebab;burger;pancake,,,,,,wlan,,39.9083524,32.8095944,"https://www.google.com/maps/search/?api=1&query=39.9083524,32.8095944",node/4653287089
Miso Ramen Ankara,restaurant,japanese;asian,,https://misoramenankara.qr.menulux.com/#!/,misoramen.ankara,Tu-Su 12:00-22:00,,,Büklüm Caddesi 16,39.9110907,32.8589659,"https://www.google.com/maps/search/?api=1&query=39.9110907,32.8589659",node/11262814983
Mocaco,cafe,,,,,,,,,39.9312266,32.8260134,"https://www.google.com/maps/search/?api=1&query=39.9312266,32.8260134",node/309903643
Mozaik Kebap,restaurant,,+90 312 476 03 02,http://www.mozaikkebap.com/,,"Mo-Fr 09:00-22:00, Sa-Su 09:00-22:30",,,,39.8696645,32.8273802,"https://www.google.com/maps/search/?api=1&query=39.8696645,32.8273802",node/4362548364
Mr. Ice Roll Tava Dondurma,ice_cream,,,,,,,,61. Cadde,39.9235086,32.8262395,"https://www.google.com/maps/search/?api=1&query=39.9235086,32.8262395",node/13970194803
MSB Çankaya Lojmanları Sosyal Tesisleri,fast_food,,,,,,,,,39.8872355,32.8693945,"https://www.google.com/maps/search/?api=1&query=39.8872355,32.8693945",way/1197059398
Muddy Waters,bar,italian;italian_pizza;mexican;pizza,,,,,,,,39.9162534,32.8580772,"https://www.google.com/maps/search/?api=1&query=39.9162534,32.8580772",node/9049971617
Mug Kafe,cafe,,,,,,,,,39.9192618,32.7970820,"https://www.google.com/maps/search/?api=1&query=39.9192618,32.7970820",way/1146919226
Muse,cafe,coffee_shop,,,,,yes,,,39.8650564,32.8594971,"https://www.google.com/maps/search/?api=1&query=39.8650564,32.8594971",node/4886017500
Mutlu Döner,restaurant,,,,,,,,,39.9230783,32.8502052,"https://www.google.com/maps/search/?api=1&query=39.9230783,32.8502052",node/4346957209
Mutlu Lokantası,restaurant,kebab,+90 312 426 28 42,,https://www.instagram.com/mutlu.lokantasi/,,,,Güvenlik Caddesi 69/D,39.9028602,32.8529716,"https://www.google.com/maps/search/?api=1&query=39.9028602,32.8529716",node/7111859184
Mutlu Ocakbaşı,pub,,,,,,,,Kazakistan Caddesi 99A,39.9233753,32.8226753,"https://www.google.com/maps/search/?api=1&query=39.9233753,32.8226753",node/13803017901
My Vera Meyhane,pub,,,,,,,,Kazakistan Caddesi,39.9241702,32.8228074,"https://www.google.com/maps/search/?api=1&query=39.9241702,32.8228074",node/13803041504
MZA Çiğköfte,restaurant,,,,,,,,,39.8818540,32.8175135,"https://www.google.com/maps/search/?api=1&query=39.8818540,32.8175135",node/13912981382
Mühendislik Merkez Kantini,fast_food,,,,,,,wlan,,39.8923202,32.7832652,"https://www.google.com/maps/search/?api=1&query=39.8923202,32.7832652",node/4622453640
Müjgan Bestekar,bar,,,,kulupmujgan,Mo-Su 11:00-04:00,,,Bestekar Cd. 38/A,39.9096408,32.8586011,"https://www.google.com/maps/search/?api=1&query=39.9096408,32.8586011",node/10882105305
Müjgân 100. yıl,bar,,,,,,,,"100.Yıl İşçi Blokları Mahallesi 1533. Sokak Merkez Çarşı, D:No:2/24, 06530 Çankaya/Ankara, Turkey",39.8954924,32.7977410,"https://www.google.com/maps/search/?api=1&query=39.8954924,32.7977410",node/8506547888
Müjü House,bar,,,,,,,,Azerbaycan Caddesi,39.9216233,32.8291869,"https://www.google.com/maps/search/?api=1&query=39.9216233,32.8291869",node/13997813701
Müslüm Kebap,restaurant,,,,,,,,,39.9042070,32.8097747,"https://www.google.com/maps/search/?api=1&query=39.9042070,32.8097747",node/4436250464
Nazım Hikmet Kültür Merkezi,bar,,,,,Mo-Su 10:00-24:00,,,,39.9158321,32.8571282,"https://www.google.com/maps/search/?api=1&query=39.9158321,32.8571282",node/9321286533
Nefiss Döner,fast_food,,,,,,,,,39.8717621,32.8593778,"https://www.google.com/maps/search/?api=1&query=39.8717621,32.8593778",node/310403031
Net Piknik,restaurant,,,,,,,,,39.9222792,32.8559237,"https://www.google.com/maps/search/?api=1&query=39.9222792,32.8559237",node/4119001400
New Jersey Coffee House,cafe,coffee_shop;pasta,+90 534 061 50 59,https://www.newjerseycoffeehouse.com,,Mo-Su 08:00-23:00,yes,yes,Atatürk Bulvarı 223/A,39.9044632,32.8587829,"https://www.google.com/maps/search/?api=1&query=39.9044632,32.8587829",node/11271984486
Newcastle,pub,,,,,,,,,39.8757950,32.8705546,"https://www.google.com/maps/search/?api=1&query=39.8757950,32.8705546",node/4663712042
Nico Coffee and Creative,cafe,,,,,Mo-Su 07:30-00:00,,,Çayhane Sokak 123,39.8947806,32.8799087,"https://www.google.com/maps/search/?api=1&query=39.8947806,32.8799087",node/11262875880
